id,loan_amnt,int_rate,issue_d,purpose,addr_state
1,5000,10.65%,12/1/11,credit_card,AZ
2,2500,15.27%,12/1/11,car,GA
3,2400,15.96%,12/1/11,small_business,IL
4,10000,13.49%,12/1/11,other,CA
5,3000,12.69%,12/1/11,other,OR
6,5000,7.90%,12/1/11,wedding,AZ
7,7000,15.96%,12/1/11,debt_consolidation,NC
8,3000,18.64%,12/1/11,car,CA
9,5600,21.28%,12/1/11,small_business,CA
10,5375,12.69%,12/1/11,other,TX
11,6500,14.65%,12/1/11,debt_consolidation,AZ
12,12000,12.69%,12/1/11,debt_consolidation,CA
13,9000,13.49%,12/1/11,debt_consolidation,VA
14,3000,9.91%,12/1/11,credit_card,IL
15,10000,10.65%,12/1/11,other,CA
16,1000,16.29%,12/1/11,debt_consolidation,MO
17,10000,15.27%,12/1/11,home_improvement,CA
18,3600,6.03%,12/1/11,major_purchase,CT
19,6000,11.71%,12/1/11,medical,UT
20,9200,6.03%,12/1/11,debt_consolidation,CA
21,20250,15.27%,12/1/11,debt_consolidation,TX
22,21000,12.42%,12/1/11,debt_consolidation,FL
23,10000,11.71%,12/1/11,credit_card,TX
24,10000,11.71%,12/1/11,debt_consolidation,CA
25,6000,11.71%,12/1/11,major_purchase,CA
26,15000,9.91%,12/1/11,credit_card,IL
27,15000,14.27%,12/1/11,debt_consolidation,NY
28,5000,16.77%,12/1/11,other,PA
29,4000,11.71%,12/1/11,debt_consolidation,FL
30,8500,11.71%,12/1/11,credit_card,MN
31,4375,7.51%,12/1/11,debt_consolidation,NY
32,31825,7.90%,12/1/11,debt_consolidation,NJ
33,10000,15.96%,12/1/11,debt_consolidation,FL
34,5000,8.90%,12/1/11,debt_consolidation,OR
35,7000,15.96%,12/1/11,credit_card,CA
36,12400,10.65%,12/1/11,credit_card,KY
37,10800,9.91%,12/1/11,moving,CA
38,15000,7.90%,12/1/11,debt_consolidation,OH
39,6000,12.42%,12/1/11,debt_consolidation,AZ
40,12500,12.69%,12/1/11,debt_consolidation,IL
41,9600,7.51%,12/1/11,other,SC
42,12000,7.90%,12/1/11,debt_consolidation,NJ
43,3000,18.25%,12/1/11,other,PA
44,4400,16.77%,12/1/11,debt_consolidation,RI
45,6000,6.03%,12/1/11,debt_consolidation,LA
46,14000,9.91%,12/1/11,small_business,MA
47,5000,8.90%,12/1/11,debt_consolidation,OH
48,10000,10.65%,12/1/11,other,NY
49,10000,6.03%,12/1/11,credit_card,CT
50,11000,6.62%,12/1/11,debt_consolidation,CT
51,15000,9.91%,12/1/11,debt_consolidation,IL
52,25600,9.91%,12/1/11,credit_card,CA
53,7000,10.65%,12/1/11,debt_consolidation,CA
54,12000,15.96%,12/1/11,car,CA
55,12000,9.91%,12/1/11,credit_card,TX
56,21000,19.91%,12/1/11,debt_consolidation,WA
57,16000,19.91%,12/1/11,credit_card,MA
58,10000,12.42%,12/1/11,debt_consolidation,OR
59,10000,10.65%,12/1/11,credit_card,TX
60,7100,16.77%,12/1/11,debt_consolidation,TX
61,13000,12.69%,12/1/11,debt_consolidation,NJ
62,17500,17.27%,12/1/11,small_business,CA
63,17675,14.65%,12/1/11,debt_consolidation,WI
64,8000,16.77%,12/1/11,debt_consolidation,VA
65,10000,10.65%,12/1/11,debt_consolidation,OH
66,3500,10.65%,12/1/11,debt_consolidation,OH
67,12500,17.27%,12/1/11,debt_consolidation,MN
68,16425,14.27%,12/1/11,debt_consolidation,CA
69,8200,21.28%,12/1/11,small_business,CA
70,15000,14.65%,12/1/11,credit_card,FL
71,20975,17.58%,12/1/11,credit_card,GA
72,6400,16.77%,12/1/11,debt_consolidation,CA
73,3000,13.49%,12/1/11,debt_consolidation,AL
74,12000,16.77%,12/1/11,credit_card,MA
75,14400,8.90%,12/1/11,debt_consolidation,NY
76,12000,14.65%,12/1/11,debt_consolidation,NJ
77,11000,13.49%,12/1/11,debt_consolidation,TX
78,7250,21.67%,12/1/11,debt_consolidation,CA
79,15000,7.90%,12/1/11,small_business,TX
80,18000,19.91%,12/1/11,debt_consolidation,FL
81,35000,17.27%,12/1/11,home_improvement,NY
82,10000,14.27%,12/1/11,credit_card,PA
83,11800,12.69%,12/1/11,credit_card,NY
84,4500,6.03%,12/1/11,major_purchase,CA
85,7000,12.69%,12/1/11,credit_card,CA
86,9200,12.42%,12/1/11,debt_consolidation,CA
87,14000,17.27%,12/1/11,other,WA
88,4500,10.65%,12/1/11,car,TX
89,12000,16.29%,12/1/11,debt_consolidation,AZ
90,12000,13.49%,12/1/11,debt_consolidation,CA
91,12000,10.65%,12/1/11,credit_card,TX
92,7000,10.65%,12/1/11,credit_card,MN
93,8200,19.42%,12/1/11,debt_consolidation,NY
94,10500,12.69%,12/1/11,medical,CA
95,7000,11.71%,12/1/11,debt_consolidation,FL
96,15300,22.06%,12/1/11,credit_card,VA
97,20000,11.71%,12/1/11,debt_consolidation,VA
98,17500,17.27%,12/1/11,credit_card,WA
99,3500,6.03%,12/1/11,car,IL
100,6000,12.69%,12/1/11,major_purchase,CO
101,6200,9.91%,12/1/11,debt_consolidation,CA
102,16000,17.58%,12/1/11,debt_consolidation,KS
103,6000,8.90%,12/1/11,debt_consolidation,NJ
104,7200,9.91%,12/1/11,credit_card,NY
105,9500,8.90%,12/1/11,credit_card,TX
106,18825,16.77%,12/1/11,debt_consolidation,TX
107,24000,10.65%,12/1/11,debt_consolidation,CA
108,6000,13.49%,12/1/11,debt_consolidation,CA
109,6000,13.49%,12/1/11,debt_consolidation,AZ
110,2100,12.42%,12/1/11,vacation,LA
111,5500,6.62%,12/1/11,small_business,CT
112,11000,6.62%,12/1/11,debt_consolidation,LA
113,26800,20.89%,12/1/11,debt_consolidation,FL
114,8000,12.69%,12/1/11,debt_consolidation,IL
115,10000,18.25%,12/1/11,credit_card,CA
116,8000,11.71%,12/1/11,credit_card,NV
117,10000,8.90%,12/1/11,debt_consolidation,CA
118,12000,11.71%,12/1/11,debt_consolidation,OH
119,10000,7.90%,12/1/11,debt_consolidation,CA
120,12000,9.91%,12/1/11,debt_consolidation,CA
121,25000,13.49%,12/1/11,credit_card,AK
122,19750,10.65%,12/1/11,debt_consolidation,OR
123,10000,9.91%,12/1/11,debt_consolidation,NY
124,13650,12.42%,12/1/11,debt_consolidation,NV
125,28000,19.91%,12/1/11,debt_consolidation,TX
126,18000,7.90%,12/1/11,debt_consolidation,CA
127,2500,14.27%,12/1/11,debt_consolidation,FL
128,21000,20.30%,12/1/11,credit_card,CO
129,35000,8.90%,12/1/11,debt_consolidation,CA
130,10000,7.51%,12/1/11,credit_card,NJ
131,7000,12.69%,12/1/11,credit_card,VA
132,24000,15.96%,12/1/11,home_improvement,CA
133,10625,7.51%,12/1/11,medical,OR
134,5000,14.65%,12/1/11,debt_consolidation,PA
135,8850,6.62%,12/1/11,credit_card,MD
136,6375,7.51%,12/1/11,debt_consolidation,GA
137,6000,11.71%,12/1/11,credit_card,NJ
138,11100,6.62%,12/1/11,credit_card,PA
139,10000,12.69%,12/1/11,debt_consolidation,CA
140,6200,6.03%,12/1/11,small_business,WV
141,15000,18.64%,12/1/11,debt_consolidation,GA
142,4200,11.71%,12/1/11,other,MD
143,14000,14.27%,12/1/11,debt_consolidation,CA
144,8875,7.51%,12/1/11,debt_consolidation,GA
145,13500,9.91%,12/1/11,debt_consolidation,CA
146,12000,9.91%,12/1/11,debt_consolidation,MN
147,16000,19.91%,12/1/11,debt_consolidation,WA
148,21600,19.42%,12/1/11,debt_consolidation,GA
149,6000,10.65%,12/1/11,home_improvement,NJ
150,8450,16.77%,12/1/11,debt_consolidation,IL
151,20000,13.49%,12/1/11,credit_card,OH
152,10000,11.71%,12/1/11,debt_consolidation,CA
153,12000,16.29%,12/1/11,credit_card,GA
154,13475,13.49%,12/1/11,credit_card,CA
155,7200,12.42%,12/1/11,major_purchase,IL
156,5600,14.65%,12/1/11,debt_consolidation,AZ
157,12000,14.27%,12/1/11,debt_consolidation,CA
158,8500,6.03%,12/1/11,credit_card,MD
159,8000,9.91%,12/1/11,credit_card,PA
160,8000,12.42%,12/1/11,credit_card,OR
161,16000,15.27%,12/1/11,debt_consolidation,GA
162,15000,17.27%,12/1/11,house,FL
163,10000,9.91%,12/1/11,debt_consolidation,VT
164,10000,6.62%,12/1/11,credit_card,NY
165,8000,14.65%,12/1/11,car,CA
166,22000,9.91%,12/1/11,debt_consolidation,MI
167,6000,14.27%,12/1/11,car,TX
168,16000,9.91%,12/1/11,debt_consolidation,FL
169,2500,7.51%,12/1/11,debt_consolidation,CA
170,13500,9.91%,12/1/11,credit_card,DC
171,25000,12.42%,12/1/11,debt_consolidation,NJ
172,10000,13.49%,12/1/11,small_business,CA
173,2500,13.49%,12/1/11,debt_consolidation,WA
174,7325,12.69%,12/1/11,debt_consolidation,FL
175,4000,12.42%,12/1/11,credit_card,NY
176,10000,13.49%,12/1/11,small_business,CA
177,7750,17.27%,12/1/11,debt_consolidation,IL
178,20000,20.89%,12/1/11,debt_consolidation,FL
179,9600,12.42%,12/1/11,debt_consolidation,NY
180,21000,11.71%,12/1/11,debt_consolidation,CA
181,14000,10.65%,12/1/11,credit_card,CT
182,13350,12.42%,12/1/11,debt_consolidation,CA
183,15000,16.77%,12/1/11,debt_consolidation,WI
184,15000,17.27%,12/1/11,debt_consolidation,CA
185,11000,13.49%,12/1/11,debt_consolidation,CA
186,35000,10.65%,12/1/11,debt_consolidation,TX
187,9000,10.65%,12/1/11,credit_card,SD
188,22475,15.27%,12/1/11,debt_consolidation,NH
189,16000,12.69%,12/1/11,debt_consolidation,IL
190,13500,12.69%,12/1/11,debt_consolidation,VA
191,24000,12.69%,12/1/11,debt_consolidation,WA
192,12000,10.65%,12/1/11,credit_card,CA
193,8400,16.77%,12/1/11,major_purchase,NY
194,28000,17.58%,12/1/11,home_improvement,NC
195,14000,6.62%,12/1/11,debt_consolidation,VA
196,12000,14.27%,12/1/11,other,NY
197,25000,11.71%,12/1/11,debt_consolidation,RI
198,9000,12.69%,12/1/11,debt_consolidation,NY
199,13250,10.65%,12/1/11,debt_consolidation,OH
200,20000,13.49%,12/1/11,debt_consolidation,CA
201,3000,14.65%,12/1/11,medical,WI
202,7350,10.65%,12/1/11,debt_consolidation,AR
203,11500,15.27%,12/1/11,debt_consolidation,FL
204,13650,12.42%,12/1/11,debt_consolidation,CA
205,10500,16.29%,12/1/11,debt_consolidation,CA
206,12000,9.91%,12/1/11,debt_consolidation,CA
207,6000,8.90%,12/1/11,credit_card,OH
208,11500,15.27%,12/1/11,credit_card,CA
209,7000,12.42%,12/1/11,debt_consolidation,MD
210,29500,20.30%,12/1/11,debt_consolidation,NM
211,2000,15.27%,12/1/11,moving,TX
212,11625,13.49%,12/1/11,credit_card,KS
213,15075,14.27%,12/1/11,debt_consolidation,TX
214,5300,15.27%,12/1/11,credit_card,CT
215,8200,6.62%,12/1/11,home_improvement,PA
216,12000,12.42%,12/1/11,credit_card,TX
217,8650,14.27%,12/1/11,credit_card,FL
218,21000,17.27%,12/1/11,debt_consolidation,NJ
219,16000,17.27%,12/1/11,debt_consolidation,TX
220,12000,12.42%,12/1/11,debt_consolidation,CA
221,9500,12.69%,12/1/11,moving,CA
222,7400,13.49%,12/1/11,debt_consolidation,AZ
223,14400,13.49%,12/1/11,debt_consolidation,FL
224,24250,23.91%,12/1/11,debt_consolidation,AZ
225,7200,7.90%,12/1/11,debt_consolidation,GA
226,26000,16.77%,12/1/11,home_improvement,NC
227,7000,11.71%,12/1/11,credit_card,WA
228,4000,7.51%,12/1/11,major_purchase,CA
229,1500,17.27%,12/1/11,debt_consolidation,CA
230,19600,12.42%,12/1/11,credit_card,NY
231,2500,11.71%,12/1/11,debt_consolidation,AZ
232,10000,12.69%,12/1/11,credit_card,CA
233,10000,6.62%,12/1/11,credit_card,OH
234,4225,12.42%,12/1/11,other,WA
235,3500,7.90%,12/1/11,vacation,CA
236,12000,6.62%,12/1/11,debt_consolidation,FL
237,16500,8.90%,12/1/11,debt_consolidation,IL
238,22000,21.67%,12/1/11,debt_consolidation,WA
239,12000,14.65%,12/1/11,credit_card,KS
240,15600,12.69%,12/1/11,vacation,NY
241,10800,12.42%,12/1/11,credit_card,CA
242,14000,12.42%,12/1/11,credit_card,GA
243,18825,17.58%,12/1/11,debt_consolidation,NY
244,6000,13.49%,12/1/11,debt_consolidation,NM
245,12000,9.91%,12/1/11,debt_consolidation,TX
246,10000,12.42%,12/1/11,debt_consolidation,WA
247,8000,7.90%,12/1/11,vacation,NY
248,14125,9.91%,12/1/11,debt_consolidation,OR
249,14000,12.69%,12/1/11,debt_consolidation,WA
250,13200,17.27%,12/1/11,small_business,TX
251,4000,19.03%,12/1/11,vacation,NC
252,4000,12.69%,12/1/11,debt_consolidation,CO
253,10500,6.03%,12/1/11,debt_consolidation,TX
254,5500,7.90%,12/1/11,car,PA
255,7350,11.71%,12/1/11,debt_consolidation,CA
256,10000,12.42%,12/1/11,credit_card,MO
257,12000,7.51%,12/1/11,debt_consolidation,OH
258,5000,11.71%,12/1/11,home_improvement,MI
259,8000,11.71%,12/1/11,other,OR
260,4500,8.90%,12/1/11,other,NC
261,18000,12.42%,12/1/11,credit_card,LA
262,12300,13.49%,12/1/11,debt_consolidation,MT
263,12000,13.49%,12/1/11,debt_consolidation,GA
264,10000,13.49%,12/1/11,credit_card,CA
265,6000,7.90%,12/1/11,other,WI
266,12000,12.69%,12/1/11,debt_consolidation,MD
267,12000,8.90%,12/1/11,other,CA
268,7000,11.71%,12/1/11,debt_consolidation,CA
269,35000,18.64%,12/1/11,debt_consolidation,IL
270,1400,7.90%,12/1/11,other,FL
271,16000,13.49%,12/1/11,small_business,NC
272,3200,9.91%,12/1/11,debt_consolidation,CA
273,8000,7.90%,12/1/11,medical,CA
