id,loan_amnt,int_rate,issue_d,purpose,addr_state,start_year
27,15000,14.27%,12/1/11,debt_consolidation,NY,2011
31,4375,7.51%,12/1/11,debt_consolidation,NY,2011
48,10000,10.65%,12/1/11,other,NY,2011
75,14400,8.90%,12/1/11,debt_consolidation,NY,2011
81,35000,17.27%,12/1/11,home_improvement,NY,2011
83,11800,12.69%,12/1/11,credit_card,NY,2011
93,8200,19.42%,12/1/11,debt_consolidation,NY,2011
104,7200,9.91%,12/1/11,credit_card,NY,2011
123,10000,9.91%,12/1/11,debt_consolidation,NY,2011
164,10000,6.62%,12/1/11,credit_card,NY,2011
175,4000,12.42%,12/1/11,credit_card,NY,2011
179,9600,12.42%,12/1/11,debt_consolidation,NY,2011
193,8400,16.77%,12/1/11,major_purchase,NY,2011
196,12000,14.27%,12/1/11,other,NY,2011
198,9000,12.69%,12/1/11,debt_consolidation,NY,2011
230,19600,12.42%,12/1/11,credit_card,NY,2011
240,15600,12.69%,12/1/11,vacation,NY,2011
243,18825,17.58%,12/1/11,debt_consolidation,NY,2011
247,8000,7.90%,12/1/11,vacation,NY,2011
278,18000,8.90%,12/1/11,credit_card,NY,2011
292,13250,17.27%,12/1/11,debt_consolidation,NY,2011
298,10000,12.42%,12/1/11,credit_card,NY,2011
299,8000,11.71%,12/1/11,credit_card,NY,2011
306,10000,16.29%,12/1/11,credit_card,NY,2011
315,25000,18.64%,12/1/11,debt_consolidation,NY,2011
316,10000,11.71%,12/1/11,other,NY,2011
328,18000,19.03%,12/1/11,credit_card,NY,2011
335,6300,11.71%,12/1/11,credit_card,NY,2011
338,8250,15.96%,12/1/11,home_improvement,NY,2011
347,10000,10.65%,12/1/11,debt_consolidation,NY,2011
352,9875,7.90%,12/1/11,debt_consolidation,NY,2011
360,9000,14.65%,12/1/11,debt_consolidation,NY,2011
379,14000,14.27%,12/1/11,credit_card,NY,2011
417,9600,13.49%,12/1/11,debt_consolidation,NY,2011
422,10000,7.90%,12/1/11,credit_card,NY,2011
427,4500,15.96%,12/1/11,other,NY,2011
431,33425,13.49%,12/1/11,debt_consolidation,NY,2011
437,6000,17.58%,12/1/11,debt_consolidation,NY,2011
474,3600,8.90%,12/1/11,debt_consolidation,NY,2011
486,20000,12.69%,12/1/11,other,NY,2011
489,25000,19.42%,12/1/11,credit_card,NY,2011
490,8000,8.90%,12/1/11,debt_consolidation,NY,2011
491,14400,15.27%,12/1/11,debt_consolidation,NY,2011
494,14050,8.90%,12/1/11,major_purchase,NY,2011
519,15000,11.71%,12/1/11,debt_consolidation,NY,2011
522,3600,15.96%,12/1/11,moving,NY,2011
524,15000,15.27%,12/1/11,debt_consolidation,NY,2011
537,20000,9.91%,12/1/11,debt_consolidation,NY,2011
541,13000,23.52%,12/1/11,debt_consolidation,NY,2011
549,7000,10.65%,12/1/11,other,NY,2011
569,12000,14.65%,12/1/11,debt_consolidation,NY,2011
586,10000,16.29%,12/1/11,credit_card,NY,2011
613,10000,10.65%,12/1/11,debt_consolidation,NY,2011
614,15000,19.91%,12/1/11,credit_card,NY,2011
619,22400,22.74%,12/1/11,credit_card,NY,2011
621,22250,12.69%,12/1/11,debt_consolidation,NY,2011
636,7000,12.69%,12/1/11,debt_consolidation,NY,2011
644,12000,15.96%,12/1/11,debt_consolidation,NY,2011
651,10000,13.49%,12/1/11,debt_consolidation,NY,2011
671,20000,7.90%,12/1/11,wedding,NY,2011
681,5600,6.03%,12/1/11,car,NY,2011
692,21000,7.90%,12/1/11,debt_consolidation,NY,2011
693,8400,16.77%,12/1/11,credit_card,NY,2011
705,35000,11.71%,12/1/11,debt_consolidation,NY,2011
709,28625,20.30%,12/1/11,debt_consolidation,NY,2011
711,7300,11.71%,12/1/11,other,NY,2011
721,10000,14.65%,12/1/11,credit_card,NY,2011
723,10000,17.27%,12/1/11,small_business,NY,2011
725,10000,15.27%,12/1/11,small_business,NY,2011
727,5000,6.03%,12/1/11,other,NY,2011
728,5000,8.90%,12/1/11,debt_consolidation,NY,2011
732,7000,16.77%,12/1/11,wedding,NY,2011
743,17500,12.42%,12/1/11,credit_card,NY,2011
751,4400,19.03%,12/1/11,small_business,NY,2011
775,14000,8.90%,12/1/11,other,NY,2011
782,12000,7.51%,12/1/11,debt_consolidation,NY,2011
790,10000,14.27%,12/1/11,car,NY,2011
838,16000,19.91%,12/1/11,debt_consolidation,NY,2011
849,15500,13.49%,12/1/11,debt_consolidation,NY,2011
862,17475,7.90%,12/1/11,home_improvement,NY,2011
868,16500,16.77%,12/1/11,debt_consolidation,NY,2011
896,12600,14.27%,12/1/11,debt_consolidation,NY,2011
920,12000,8.90%,12/1/11,debt_consolidation,NY,2011
921,5000,12.42%,12/1/11,credit_card,NY,2011
922,30000,21.67%,12/1/11,debt_consolidation,NY,2011
924,18000,17.27%,12/1/11,debt_consolidation,NY,2011
937,24000,7.90%,12/1/11,debt_consolidation,NY,2011
951,10000,14.27%,12/1/11,debt_consolidation,NY,2011
953,13000,9.91%,12/1/11,debt_consolidation,NY,2011
955,5000,16.77%,12/1/11,debt_consolidation,NY,2011
959,18000,15.27%,12/1/11,debt_consolidation,NY,2011
981,10000,8.90%,12/1/11,debt_consolidation,NY,2011
